city,lat,lon,precip,class,population,damage
Aligarh,27.881453,78.07464,0.0,0,753207,0.0
Bhiwandi,19.300229,73.058813,1.6,0,874032,139.85
Jammu,32.735686,74.869112,0.0,0,465567,0.0
Moradabad,28.838931,78.776838,0.0,0,721139,0.0
Mangalore,12.865371,74.842432,2.28,0,417387,95.16
Kolhapur,16.695633,74.231669,0.79,0,516142,40.78
Amravati,20.933272,77.75152,0.67,0,603837,40.46
Dehra Dun,30.324427,78.033922,0.0,0,522081,0.0
Malegaon Camp,20.569974,74.515415,2.0599999999999996,0,0,0.0
Nellore,14.449918,79.986967,0.8200000000000001,0,404158,33.14
Gopalpur,26.735389,83.38064,0.0,0,6890,0.0
Shimoga,13.932424,75.572555,0.3,0,319550,9.59
Tiruppur,11.104096,77.346402,2.61,0,963173,251.39
Raurkela,22.224964,84.864143,0.0,0,536450,0.0
Nanded,19.160227,77.314971,0.9400000000000001,0,550564,51.75
Belgaum,15.862643,74.508534,0.42000000000000004,0,0,0.0
Sangli,16.856777,74.569196,0.78,0,601214,46.89
Chanda,19.950758,79.295229,0.06999999999999999,0,328351,2.3
Ajmer,26.452103,74.638667,0.26,0,517911,13.47
Cuttack,20.522922,85.78813,0.0,0,580000,0.0
Bikaner,28.017623,73.314955,0.01,0,576015,0.58
Bhavnagar,21.774455,72.152496,0.64,0,605882,38.78
Hisar,29.153938,75.722944,0.0,0,296436,0.0
Bilaspur,22.080046,82.155431,0.0,0,14037,0.0
Tirunelveli,8.725181,77.684519,2.6500000000000004,0,1435844,380.5
Guntur,16.299737,80.457293,0.060000000000000005,0,530577,3.18
Shiliguri,26.710035,88.428512,0.0,0,0,0.0
Ujjain,23.182387,75.776433,0.64,0,457346,29.27
Davangere,14.469237,75.92375,0.06999999999999999,0,435128,3.05
Akola,20.709569,76.998103,1.73,0,428857,74.19
Saharanpur,29.967896,77.545221,0.0,0,484873,0.0
Gulbarga,17.335827,76.83757,0.86,0,0,0.0
Bhatpara,22.866431,88.401129,0.0,0,483129,0.0
Dhulia,20.901299,74.777373,1.94,0,366980,71.19
Udaipur,24.57951,73.690508,0.38,0,30264,1.15
Bellary,15.142049,76.92398,0.15,0,336681,5.05
